kind;class;element;ChangingClasses;ChangingMethods;CouplingDispersion;CouplingIntensity;CyclomaticComplexity;MaxCallChain;MaxNesting;MethodLinesOfCode;NumberOfAccessedVariables;ParameterCount;smells_count;smells
public method;br.ufal.academico.web.session.matriculainstitucional.IngressoUniversidadeBean;br.ufal.academico.web.session.matriculainstitucional.IngressoUniversidadeBean.getAnosVestibulares;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;2;MessageChain
public method;br.ufal.academico.web.session.matriculainstitucional.IngressoUniversidadeBean;br.ufal.academico.web.session.matriculainstitucional.IngressoUniversidadeBean.setAnosVestibulares;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;2;MessageChain
public method;br.ufal.academico.web.session.matriculainstitucional.IngressoUniversidadeBean;br.ufal.academico.web.session.matriculainstitucional.IngressoUniversidadeBean.getQuemEntra;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;2;MessageChain
public method;br.ufal.academico.web.session.matriculainstitucional.IngressoUniversidadeBean;br.ufal.academico.web.session.matriculainstitucional.IngressoUniversidadeBean.setQuemEntra;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;2;MessageChain
public method;br.ufal.academico.web.session.matriculainstitucional.IngressoUniversidadeBean;br.ufal.academico.web.session.matriculainstitucional.IngressoUniversidadeBean.getMatriculasAlunosAprovados;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;2;MessageChain
public method;br.ufal.academico.web.session.matriculainstitucional.IngressoUniversidadeBean;br.ufal.academico.web.session.matriculainstitucional.IngressoUniversidadeBean.setMatriculasAlunosAprovados;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;2;MessageChain
public method;br.ufal.academico.web.session.matriculainstitucional.IngressoUniversidadeBean;br.ufal.academico.web.session.matriculainstitucional.IngressoUniversidadeBean.getQuemSai;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;2;MessageChain
public method;br.ufal.academico.web.session.matriculainstitucional.IngressoUniversidadeBean;br.ufal.academico.web.session.matriculainstitucional.IngressoUniversidadeBean.setQuemSai;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;2;MessageChain
public method;br.ufal.academico.web.session.matriculainstitucional.IngressoUniversidadeBean;br.ufal.academico.web.session.matriculainstitucional.IngressoUniversidadeBean.getMatriculaPrimeiro;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;2;MessageChain
public method;br.ufal.academico.web.session.matriculainstitucional.IngressoUniversidadeBean;br.ufal.academico.web.session.matriculainstitucional.IngressoUniversidadeBean.setMatriculaPrimeiro;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;2;MessageChain
public method;br.ufal.academico.web.session.matriculainstitucional.IngressoUniversidadeBean;br.ufal.academico.web.session.matriculainstitucional.IngressoUniversidadeBean.getMatriculaSegundo;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;2;MessageChain
public method;br.ufal.academico.web.session.matriculainstitucional.IngressoUniversidadeBean;br.ufal.academico.web.session.matriculainstitucional.IngressoUniversidadeBean.setMatriculaSegundo;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;2;MessageChain
public method;br.ufal.academico.web.session.matriculainstitucional.IngressoUniversidadeBean;br.ufal.academico.web.session.matriculainstitucional.IngressoUniversidadeBean.getMatriculasPrimeiroSemestre;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;2;MessageChain
public method;br.ufal.academico.web.session.matriculainstitucional.IngressoUniversidadeBean;br.ufal.academico.web.session.matriculainstitucional.IngressoUniversidadeBean.setMatriculasPrimeiroSemestre;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;2;MessageChain
public method;br.ufal.academico.web.session.matriculainstitucional.IngressoUniversidadeBean;br.ufal.academico.web.session.matriculainstitucional.IngressoUniversidadeBean.getMatriculasSegundoSemestre;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;2;MessageChain
public method;br.ufal.academico.web.session.matriculainstitucional.IngressoUniversidadeBean;br.ufal.academico.web.session.matriculainstitucional.IngressoUniversidadeBean.setMatriculasSegundoSemestre;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;2;MessageChain
public method;br.ufal.academico.web.session.matriculainstitucional.IngressoUniversidadeBean;br.ufal.academico.web.session.matriculainstitucional.IngressoUniversidadeBean.getTurno;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;2;MessageChain
public method;br.ufal.academico.web.session.matriculainstitucional.IngressoUniversidadeBean;br.ufal.academico.web.session.matriculainstitucional.IngressoUniversidadeBean.setTurno;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;2;MessageChain
public method;br.ufal.academico.web.session.matriculainstitucional.IngressoUniversidadeBean;br.ufal.academico.web.session.matriculainstitucional.IngressoUniversidadeBean.getTurnos;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;2;MessageChain
public method;br.ufal.academico.web.session.matriculainstitucional.IngressoUniversidadeBean;br.ufal.academico.web.session.matriculainstitucional.IngressoUniversidadeBean.setTurnos;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;2;MessageChain
public method;br.ufal.academico.web.session.matriculainstitucional.TrancamentoPeriodosAnterioresBean;br.ufal.academico.web.session.matriculainstitucional.TrancamentoPeriodosAnterioresBean.consultarPorId;0,0;0,0;0,571428571429;14,0;2,0;4,0;1,0;12,0;11,0;0,0;2;MessageChain,FeatureEnvy
public method;br.ufal.academico.web.session.matriculainstitucional.TrancamentoPeriodosAnterioresBean;br.ufal.academico.web.session.matriculainstitucional.TrancamentoPeriodosAnterioresBean.selecionarPeriodoLetivo;0,0;0,0;1,0;1,0;2,0;1,0;1,0;6,0;4,0;0,0;2;MessageChain,FeatureEnvy
public method;br.ufal.academico.web.session.matriculainstitucional.TrancamentoPeriodosAnterioresBean;br.ufal.academico.web.session.matriculainstitucional.TrancamentoPeriodosAnterioresBean.consultarMatriculasAcademicas;0,0;0,0;1,0;5,0;1,0;2,0;0,0;8,0;10,0;0,0;2;MessageChain,FeatureEnvy
public method;br.ufal.academico.web.session.matriculainstitucional.TrancamentoPeriodosAnterioresBean;br.ufal.academico.web.session.matriculainstitucional.TrancamentoPeriodosAnterioresBean.trancarPeriodoAnterior;0,0;0,0;0,5;2,0;4,0;2,0;1,0;12,0;7,0;0,0;2;MessageChain,FeatureEnvy
public method;br.ufal.academico.web.session.matriculainstitucional.TrancamentoPeriodosAnterioresBean;br.ufal.academico.web.session.matriculainstitucional.TrancamentoPeriodosAnterioresBean.getMatriculaInstitucional;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;2;MessageChain,FeatureEnvy
public method;br.ufal.academico.web.session.matriculainstitucional.TrancamentoPeriodosAnterioresBean;br.ufal.academico.web.session.matriculainstitucional.TrancamentoPeriodosAnterioresBean.setMatriculaInstitucional;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;2;MessageChain,FeatureEnvy
public method;br.ufal.academico.web.session.matriculainstitucional.TrancamentoPeriodosAnterioresBean;br.ufal.academico.web.session.matriculainstitucional.TrancamentoPeriodosAnterioresBean.getPeriodosLetivos;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;2;MessageChain,FeatureEnvy
public method;br.ufal.academico.web.session.matriculainstitucional.TrancamentoPeriodosAnterioresBean;br.ufal.academico.web.session.matriculainstitucional.TrancamentoPeriodosAnterioresBean.setPeriodosLetivos;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;2;MessageChain,FeatureEnvy
public method;br.ufal.academico.web.session.matriculainstitucional.TrancamentoPeriodosAnterioresBean;br.ufal.academico.web.session.matriculainstitucional.TrancamentoPeriodosAnterioresBean.getPeriodoLetivoAsString;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;2;MessageChain,FeatureEnvy
public method;br.ufal.academico.web.session.matriculainstitucional.TrancamentoPeriodosAnterioresBean;br.ufal.academico.web.session.matriculainstitucional.TrancamentoPeriodosAnterioresBean.setPeriodoLetivoAsString;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;2;MessageChain,FeatureEnvy
public method;br.ufal.academico.web.session.matriculainstitucional.TrancamentoPeriodosAnterioresBean;br.ufal.academico.web.session.matriculainstitucional.TrancamentoPeriodosAnterioresBean.getMatriculasAcademicas;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;2;MessageChain,FeatureEnvy
public method;br.ufal.academico.web.session.matriculainstitucional.TrancamentoPeriodosAnterioresBean;br.ufal.academico.web.session.matriculainstitucional.TrancamentoPeriodosAnterioresBean.setMatriculasAcademicas;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;2;MessageChain,FeatureEnvy
public method;br.ufal.academico.web.session.matriculainstitucional.TrancamentoPeriodosAnterioresBean;br.ufal.academico.web.session.matriculainstitucional.TrancamentoPeriodosAnterioresBean.getPeriodoLetivo;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;2;MessageChain,FeatureEnvy
public method;br.ufal.academico.web.session.matriculainstitucional.TrancamentoPeriodosAnterioresBean;br.ufal.academico.web.session.matriculainstitucional.TrancamentoPeriodosAnterioresBean.setPeriodoLetivo;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;2;MessageChain,FeatureEnvy
public method;br.ufal.academico.web.session.matriculainstitucional.TrancamentoPeriodosAnterioresBean;br.ufal.academico.web.session.matriculainstitucional.TrancamentoPeriodosAnterioresBean.podeTrancar;0,0;0,0;1,0;1,0;2,0;1,0;1,0;5,0;3,0;0,0;2;MessageChain,FeatureEnvy
public method;br.ufal.academico.web.session.oferta.CadastroCursoBean;br.ufal.academico.web.session.oferta.CadastroCursoBean.carregarCurso;0,0;0,0;0,181818181818;11,0;3,0;2,0;1,0;14,0;2,0;0,0;1;FeatureEnvy
public method;br.ufal.academico.web.session.oferta.CadastroCursoBean;br.ufal.academico.web.session.oferta.CadastroCursoBean.setCurso;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;1;FeatureEnvy
public method;br.ufal.academico.web.session.oferta.CadastroCursoBean;br.ufal.academico.web.session.oferta.CadastroCursoBean.getUnidadesOrganizacionais;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;1;FeatureEnvy
public method;br.ufal.academico.web.session.oferta.CadastroCursoBean;br.ufal.academico.web.session.oferta.CadastroCursoBean.setUnidadesOrganizacionais;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;1;FeatureEnvy
public method;br.ufal.academico.web.session.oferta.CadastroCursoBean;br.ufal.academico.web.session.oferta.CadastroCursoBean.listarUnidadesOrganizacionais;0,0;0,0;1,0;1,0;1,0;1,0;0,0;4,0;3,0;0,0;1;FeatureEnvy
public method;br.ufal.academico.web.session.oferta.CadastroCursoBean;br.ufal.academico.web.session.oferta.CadastroCursoBean.listarTiposCurso;0,0;0,0;1,0;1,0;1,0;1,0;0,0;4,0;3,0;0,0;1;FeatureEnvy
public method;br.ufal.academico.web.session.oferta.CadastroCursoBean;br.ufal.academico.web.session.oferta.CadastroCursoBean.listarTurnos;0,0;0,0;1,0;1,0;1,0;1,0;0,0;4,0;3,0;0,0;1;FeatureEnvy
public method;br.ufal.academico.web.session.oferta.CadastroCursoBean;br.ufal.academico.web.session.oferta.CadastroCursoBean.listarCampus;0,0;0,0;1,0;1,0;1,0;1,0;0,0;4,0;3,0;0,0;1;FeatureEnvy
public method;br.ufal.academico.web.session.oferta.CadastroCursoBean;br.ufal.academico.web.session.oferta.CadastroCursoBean.listarNiveis;0,0;0,0;1,0;1,0;1,0;1,0;0,0;4,0;3,0;0,0;1;FeatureEnvy
public method;br.ufal.academico.web.session.oferta.CadastroCursoBean;br.ufal.academico.web.session.oferta.CadastroCursoBean.listarModalidades;0,0;0,0;1,0;1,0;1,0;1,0;0,0;4,0;3,0;0,0;1;FeatureEnvy
public method;br.ufal.academico.web.session.oferta.CadastroCursoBean;br.ufal.academico.web.session.oferta.CadastroCursoBean.listarOpcoesFuncionamento;0,0;0,0;1,0;1,0;1,0;1,0;0,0;4,0;3,0;0,0;1;FeatureEnvy
public method;br.ufal.academico.web.session.oferta.CadastroCursoBean;br.ufal.academico.web.session.oferta.CadastroCursoBean.listarAreasConhecimento;0,0;0,0;1,0;1,0;1,0;1,0;0,0;4,0;3,0;0,0;1;FeatureEnvy
public method;br.ufal.academico.web.session.oferta.CadastroCursoBean;br.ufal.academico.web.session.oferta.CadastroCursoBean.listarConceitosMec;0,0;0,0;1,0;1,0;1,0;1,0;0,0;4,0;3,0;0,0;1;FeatureEnvy
public method;br.ufal.academico.web.session.oferta.CadastroCursoBean;br.ufal.academico.web.session.oferta.CadastroCursoBean.listarDiretoriosAcademicos;0,0;0,0;1,0;1,0;1,0;1,0;0,0;4,0;3,0;0,0;1;FeatureEnvy
public method;br.ufal.academico.web.session.oferta.CadastroCursoBean;br.ufal.academico.web.session.oferta.CadastroCursoBean.salvar;0,0;0,0;0,441176470588;34,0;14,0;3,0;2,0;49,0;26,0;0,0;4;LongMethod,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.oferta.CadastroCursoBean;br.ufal.academico.web.session.oferta.CadastroCursoBean.consultar;0,0;0,0;0,222222222222;9,0;1,0;1,0;0,0;12,0;12,0;0,0;5;LongMethod,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.oferta.CadastroCursoBean;br.ufal.academico.web.session.oferta.CadastroCursoBean.editar;0,0;0,0;0,6;5,0;3,0;2,0;1,0;10,0;7,0;0,0;5;LongMethod,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.oferta.CadastroCursoBean;br.ufal.academico.web.session.oferta.CadastroCursoBean.novoCurso;0,0;0,0;0,142857142857;7,0;1,0;1,0;0,0;11,0;3,0;0,0;6;LongMethod,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.oferta.CadastroCursoBean;br.ufal.academico.web.session.oferta.CadastroCursoBean.getNome;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;6;LongMethod,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.oferta.CadastroCursoBean;br.ufal.academico.web.session.oferta.CadastroCursoBean.setNome;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;6;LongMethod,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.oferta.CadastroCursoBean;br.ufal.academico.web.session.oferta.CadastroCursoBean.getUnidadeOrganizacional;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;6;LongMethod,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.oferta.CadastroCursoBean;br.ufal.academico.web.session.oferta.CadastroCursoBean.setUnidadeOrganizacional;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;6;LongMethod,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.oferta.CadastroCursoBean;br.ufal.academico.web.session.oferta.CadastroCursoBean.getTipoCurso;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;6;LongMethod,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.oferta.CadastroCursoBean;br.ufal.academico.web.session.oferta.CadastroCursoBean.setTipoCurso;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;6;LongMethod,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.oferta.CadastroCursoBean;br.ufal.academico.web.session.oferta.CadastroCursoBean.getTurno;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;6;LongMethod,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.oferta.CadastroCursoBean;br.ufal.academico.web.session.oferta.CadastroCursoBean.setTurno;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;6;LongMethod,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.oferta.CadastroCursoBean;br.ufal.academico.web.session.oferta.CadastroCursoBean.getCampus;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;6;LongMethod,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.oferta.CadastroCursoBean;br.ufal.academico.web.session.oferta.CadastroCursoBean.setCampus;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;6;LongMethod,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.oferta.CadastroCursoBean;br.ufal.academico.web.session.oferta.CadastroCursoBean.getNivelCurso;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;6;LongMethod,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.oferta.CadastroCursoBean;br.ufal.academico.web.session.oferta.CadastroCursoBean.setNivelCurso;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;6;LongMethod,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.oferta.CadastroCursoBean;br.ufal.academico.web.session.oferta.CadastroCursoBean.getModalidade;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;6;LongMethod,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.oferta.CadastroCursoBean;br.ufal.academico.web.session.oferta.CadastroCursoBean.setModalidade;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;6;LongMethod,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.oferta.CadastroCursoBean;br.ufal.academico.web.session.oferta.CadastroCursoBean.getFuncionamento;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;6;LongMethod,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.oferta.CadastroCursoBean;br.ufal.academico.web.session.oferta.CadastroCursoBean.setFuncionamento;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;6;LongMethod,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.oferta.CadastroCursoBean;br.ufal.academico.web.session.oferta.CadastroCursoBean.getCursos;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;6;LongMethod,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.oferta.CadastroCursoBean;br.ufal.academico.web.session.oferta.CadastroCursoBean.setCursos;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;6;LongMethod,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.oferta.CadastroCursoBean;br.ufal.academico.web.session.oferta.CadastroCursoBean.setCursoExclusao;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;6;LongMethod,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.oferta.CadastroCursoBean;br.ufal.academico.web.session.oferta.CadastroCursoBean.getCursoExclusao;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;6;LongMethod,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.oferta.CadastroCursoBean;br.ufal.academico.web.session.oferta.CadastroCursoBean.carregarEdicaoCurso;0,0;0,0;1,0;1,0;1,0;1,0;0,0;3,0;4,0;1,0;6;LongMethod,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.oferta.CadastroCursoBean;br.ufal.academico.web.session.oferta.CadastroCursoBean.removerCurso;0,0;0,0;1,0;2,0;2,0;2,0;1,0;7,0;5,0;0,0;6;LongMethod,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.oferta.CadastroCursoBean;br.ufal.academico.web.session.oferta.CadastroCursoBean.getCurso;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;6;LongMethod,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.oferta.CadastroCursoBean;br.ufal.academico.web.session.oferta.CadastroCursoBean.getAreaConhecimento;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;1,0;0,0;6;LongMethod,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.oferta.CadastroCursoBean;br.ufal.academico.web.session.oferta.CadastroCursoBean.setAreaConhecimento;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;2,0;1,0;6;LongMethod,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.oferta.CadastroOfertaBean;br.ufal.academico.web.session.oferta.CadastroOfertaBean.carregarPeriodosCurso;0,0;0,0;0,8;5,0;4,0;4,0;2,0;7,0;3,0;0,0;2;MessageChain,FeatureEnvy
public method;br.ufal.academico.web.session.oferta.CadastroOfertaBean;br.ufal.academico.web.session.oferta.CadastroOfertaBean.selecionarOferta;0,0;0,0;0,666666666667;3,0;1,0;2,0;0,0;3,0;2,0;0,0;2;MessageChain,FeatureEnvy
private method;br.ufal.academico.web.session.oferta.CadastroOfertaBean;br.ufal.academico.web.session.oferta.CadastroOfertaBean.consultarOferta;1,0;6,0;0,6;10,0;4,0;2,0;1,0;12,0;8,0;0,0;3;MessageChain,FeatureEnvy
private method;br.ufal.academico.web.session.oferta.CadastroOfertaBean;br.ufal.academico.web.session.oferta.CadastroOfertaBean.ordernarTurmasOfertaConsultada;1,0;1,0;0,75;4,0;2,0;2,0;1,0;10,0;5,0;1,0;4;MessageChain,FeatureEnvy
public method;br.ufal.academico.web.session.oferta.CadastroOfertaBean;br.ufal.academico.web.session.oferta.CadastroOfertaBean.novaTurma;0,0;0,0;0,555555555556;9,0;1,0;2,0;0,0;19,0;14,0;0,0;5;MessageChain,FeatureEnvy
public method;br.ufal.academico.web.session.oferta.CadastroOfertaBean;br.ufal.academico.web.session.oferta.CadastroOfertaBean.selecionarVersaoCurso;0,0;0,0;1,0;1,0;1,0;1,0;0,0;2,0;1,0;0,0;5;MessageChain,FeatureEnvy
private method;br.ufal.academico.web.session.oferta.CadastroOfertaBean;br.ufal.academico.web.session.oferta.CadastroOfertaBean.carregarCombos;1,0;2,0;0,333333333333;24,0;5,0;2,0;2,0;21,0;15,0;0,0;7;MessageChain,FeatureEnvy,IntensiveCoupling
private method;br.ufal.academico.web.session.oferta.CadastroOfertaBean;br.ufal.academico.web.session.oferta.CadastroOfertaBean.carregarVersoesCurso;1,0;1,0;0,75;4,0;3,0;2,0;2,0;10,0;6,0;0,0;7;MessageChain,FeatureEnvy,IntensiveCoupling
private method;br.ufal.academico.web.session.oferta.CadastroOfertaBean;br.ufal.academico.web.session.oferta.CadastroOfertaBean.carregarDisciplinas;1,0;2,0;1,0;3,0;1,0;2,0;0,0;3,0;4,0;1,0;7;MessageChain,FeatureEnvy,IntensiveCoupling
private method;br.ufal.academico.web.session.oferta.CadastroOfertaBean;br.ufal.academico.web.session.oferta.CadastroOfertaBean.carregarDocentesPorUnidade;1,0;1,0;1,0;4,0;2,0;1,0;1,0;5,0;5,0;1,0;7;MessageChain,FeatureEnvy,IntensiveCoupling
private method;br.ufal.academico.web.session.oferta.CadastroOfertaBean;br.ufal.academico.web.session.oferta.CadastroOfertaBean.carregarModulosSeDisciplinaObrigatoriaModular;1,0;1,0;1,0;4,0;2,0;3,0;1,0;3,0;3,0;0,0;7;MessageChain,FeatureEnvy,IntensiveCoupling
private method;br.ufal.academico.web.session.oferta.CadastroOfertaBean;br.ufal.academico.web.session.oferta.CadastroOfertaBean.isNotUnidadeAcademicaOuCampusArapiracaOuSertao;1,0;1,0;1,0;2,0;1,0;3,0;0,0;2,0;3,0;1,0;7;MessageChain,FeatureEnvy,IntensiveCoupling
private method;br.ufal.academico.web.session.oferta.CadastroOfertaBean;br.ufal.academico.web.session.oferta.CadastroOfertaBean.carregarEspacosFisicosPorCampus;1,0;1,0;1,0;1,0;1,0;1,0;0,0;2,0;3,0;1,0;7;MessageChain,FeatureEnvy,IntensiveCoupling
private method;br.ufal.academico.web.session.oferta.CadastroOfertaBean;br.ufal.academico.web.session.oferta.CadastroOfertaBean.carregarUnidadesAcademicas;1,0;1,0;1,0;1,0;1,0;1,0;0,0;2,0;2,0;0,0;7;MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.oferta.CadastroOfertaBean;br.ufal.academico.web.session.oferta.CadastroOfertaBean.solicitarDocenteAUnidadeAcademica;0,0;0,0;0,454545454545;11,0;2,0;2,0;1,0;16,0;12,0;0,0;7;MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.oferta.CadastroOfertaBean;br.ufal.academico.web.session.oferta.CadastroOfertaBean.inserirTurma;0,0;0,0;0,4;30,0;5,0;4,0;1,0;24,0;15,0;0,0;9;MessageChain,FeatureEnvy,IntensiveCoupling
private method;br.ufal.academico.web.session.oferta.CadastroOfertaBean;br.ufal.academico.web.session.oferta.CadastroOfertaBean.carregarParametrosHorarioAula;1,0;4,0;0,5;8,0;2,0;2,0;1,0;6,0;4,0;0,0;9;MessageChain,FeatureEnvy,IntensiveCoupling
private method;br.ufal.academico.web.session.oferta.CadastroOfertaBean;br.ufal.academico.web.session.oferta.CadastroOfertaBean.consultarParametroAcademicoCurso;1,0;2,0;0,363636363636;11,0;6,0;2,0;2,0;20,0;10,0;2,0;11;MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.oferta.CadastroOfertaBean;br.ufal.academico.web.session.oferta.CadastroOfertaBean.adicionarHorario;0,0;0,0;0,3125;32,0;6,0;4,0;1,0;27,0;14,0;0,0;13;MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.oferta.CadastroOfertaBean;br.ufal.academico.web.session.oferta.CadastroOfertaBean.alterarHorario;0,0;0,0;0,6;15,0;3,0;4,0;1,0;12,0;9,0;0,0;15;MessageChain,FeatureEnvy,IntensiveCoupling
private method;br.ufal.academico.web.session.oferta.CadastroOfertaBean;br.ufal.academico.web.session.oferta.CadastroOfertaBean.resetaHorarioComMesmasInformacoes;1,0;1,0;0,6;5,0;1,0;1,0;0,0;8,0;5,0;3,0;15;MessageChain,FeatureEnvy,IntensiveCoupling
private method;br.ufal.academico.web.session.oferta.CadastroOfertaBean;br.ufal.academico.web.session.oferta.CadastroOfertaBean.obterHorarioInicioFim;1,0;2,0;0,5;2,0;2,0;2,0;1,0;10,0;7,0;0,0;15;MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.oferta.CadastroOfertaBean;br.ufal.academico.web.session.oferta.CadastroOfertaBean.novoHorario;0,0;0,0;0,75;4,0;1,0;2,0;0,0;4,0;4,0;0,0;15;MessageChain,FeatureEnvy,IntensiveCoupling
private method;br.ufal.academico.web.session.oferta.CadastroOfertaBean;br.ufal.academico.web.session.oferta.CadastroOfertaBean.limparHorario;1,0;4,0;1,0;1,0;1,0;1,0;0,0;4,0;2,0;0,0;15;MessageChain,FeatureEnvy,IntensiveCoupling
public method;br.ufal.academico.web.session.oferta.CadastroOfertaBean;br.ufal.academico.web.session.oferta.CadastroOfertaBean.adicionarDocenteTurma;0,0;0,0;0,545454545455;11,0;2,0;3,0;1,0;13,0;9,0;0,0;16;MessageChain,FeatureEnvy,IntensiveCoupling
