project;repo_file_path_reduced;refs_count
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/IndicesQueryBuilder.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/LimitQueryBuilder.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/MatchAllQueryBuilder.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/MatchAllQueryParser.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/MatchQueryBuilder.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/MatchQueryParser.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/MissingQueryBuilder.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/NestedQueryBuilder.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/NestedQueryParser.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/NotQueryBuilder.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/OrQueryBuilder.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/PrefixQueryParser.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/QueryFilterParser.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/QueryStringQueryBuilder.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/QueryStringQueryParser.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/RangeQueryParser.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/RegexpQueryBuilder.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/RegexpQueryParser.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/SimpleQueryStringBuilder.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/SimpleQueryStringParser.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/SpanContainingQueryBuilder.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/SpanFirstQueryBuilder.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/SpanFirstQueryParser.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/SpanMultiTermQueryBuilder.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/SpanMultiTermQueryParser.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/SpanNearQueryBuilder.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/SpanNearQueryParser.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/SpanNotQueryBuilder.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/SpanNotQueryParser.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/SpanOrQueryBuilder.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/SpanOrQueryParser.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/SpanTermQueryBuilder.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/SpanTermQueryParser.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/SpanWithinQueryBuilder.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/TemplateQueryBuilder.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/TermQueryBuilder.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/TermQueryParser.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/TermsQueryParser.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/TypeQueryBuilder.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/WildcardQueryParser.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/WrapperQueryBuilder.java;51
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/WrapperQueryParser.java;51
spring-projects/spring-framework;/spring-projects_spring-framework/spring-webmvc-portlet/src/test/java/org/springframework/web/portlet/DispatcherPortletTests.java;51
alibaba/dubbo;/alibaba_dubbo/dubbo-common/src/main/java/com/alibaba/dubbo/common/Constants.java;50
diegocedrim/argouml;/diegocedrim_argouml/src/uci/uml/visual/UMLDiagram.java;50
diegocedrim/xerces;/diegocedrim_xerces/src/org/apache/xerces/dom/NodeImpl.java;50
elastic/elasticsearch;/elastic_elasticsearch/core/src/main/java/org/elasticsearch/index/engine/Engine.java;50
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/AndQueryParser.java;50
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/ExistsQueryParser.java;50
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/GeoBoundingBoxQueryParser.java;50
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/GeoDistanceQueryParser.java;50
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/GeoDistanceRangeQueryParser.java;50
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/GeoPolygonQueryParser.java;50
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/LimitQueryParser.java;50
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/MissingQueryParser.java;50
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/NotQueryParser.java;50
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/OrQueryParser.java;50
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/ScriptQueryParser.java;50
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/SpanContainingQueryParser.java;50
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/SpanWithinQueryParser.java;50
elastic/elasticsearch;/elastic_elasticsearch/src/main/java/org/elasticsearch/index/query/TypeQueryParser.java;50
spring-projects/spring-framework;/spring-projects_spring-framework/spring-orm/src/test/java/org/springframework/test/jdbc/JdbcTestUtils.java;50
spring-projects/spring-framework;/spring-projects_spring-framework/spring-test/src/main/java/org/springframework/test/jdbc/JdbcTestUtils.java;50
apache/ant;/apache_ant/src/main/org/apache/tools/ant/taskdefs/optional/vss/MSVSS.java;49
elastic/elasticsearch;/elastic_elasticsearch/plugins/lang-groovy/src/test/java/org/elasticsearch/messy/tests/StringTermsTests.java;49
google/j2objc;/google_j2objc/translator/src/main/java/com/google/devtools/j2objc/gen/StatementGenerator.java;49
prestodb/presto;/prestodb_presto/presto-main/src/main/java/com/facebook/presto/sql/analyzer/ExpressionAnalyzer.java;48
square/okhttp;/square_okhttp/src/test/java/com/squareup/okhttp/internal/io/DiskLruCacheTest.java;48
spring-projects/spring-framework;/spring-projects_spring-framework/org.springframework.web.servlet/src/test/java/org/springframework/web/servlet/mvc/annotation/ServletAnnotationControllerTests.java;47
apache/ant;/apache_ant/proposal/mutant/src/java/antlibs/ant1compat/org/apache/tools/ant/Project.java;46
facebook/facebook-android-sdk;/facebook_facebook-android-sdk/facebook/src/com/facebook/Request.java;46
